WP, 12, 2026072600, 01, CARQ, -24, 109N, 1708W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
WP, 12, 2026072600, 01, CARQ,   0, 117N, 1760W,  20, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1008,  150,  60,   0,   0,   C,   0,   X, 280,  13,     INVEST, S, 
WP, 12, 2026072600, 01, CARQ,   0, 117N, 1760W,  20, 1006, DB,  50, NEQ,    0,    0,    0,    0, 1008,  150,  60,   0,   0,   C,   0,   X, 280,  13,     INVEST, S, 
WP, 12, 2026072600, 01, CARQ,   0, 117N, 1760W,  20, 1006, DB,  64, NEQ,    0,    0,    0,    0, 1008,  150,  60,   0,   0,   C,   0,   X, 280,  13,     INVEST, S, 
WP, 12, 2026072618, 01, CARQ,   0, 127N, 1797E,  25, 1004, DB,  34, NEQ,    0,    0,    0,    0, 1008,  200,  40,   0,   0,   C,   0,   X, 285,  14,     INVEST, S, 
WP, 12, 2026072700, 01, CARQ,   0, 128N, 1783E,  30, 1002, TD,  34, NEQ,    0,    0,    0,    0, 1008,  190,  40,   0,   0,   W,   0,   X, 280,  14,     TWELVE, S, 
WP, 12, 2026072706, 01, CARQ,  -6, 131N, 1783E,  30,    0, TS,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,    DOLPHIN,  , 
WP, 12, 2026072706, 01, CARQ,   0, 134N, 1767E,  35, 1001, TS,  34, NEQ,   95,    0,    0,   95, 1007,  190,  35,   0,   0,   W,   0,   X, 280,  15,    DOLPHIN, S, 
WP, 12, 2026072800, 01, CARQ, -24, 131N, 1783E,  30,    0, TS,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,   X,   0,   0,    DOLPHIN,  , 
WP, 12, 2026072800, 01, CARQ,   0, 130N, 1728E,  60,  988, TS,  34, NEQ,   85,   30,   25,   80, 1007,  180,  15,   0,   0,   W,   0,   X, 265,  13,    DOLPHIN, M, 
WP, 12, 2026072806, 01, CARQ,   0, 133N, 1717E,  75,  980, TY,  34, NEQ,   70,   45,   50,   70, 1007,  210,  10,   0,   0,   W,   0,   X, 270,  11,    DOLPHIN, D, 
WP, 12, 2026072812, 01, CARQ,   0, 134N, 1707E, 100,  960, TY,  34, NEQ,   70,   55,   55,   70, 1007,  210,   7,   0,  10,   W,   0,   X, 275,  10,    DOLPHIN, D, 
